client_id,credit_given,gender,education,marital_status,month,default
25261,90000,2,2,2,10,0
1739,20000,2,2,2,10,1
6574,130000,2,2,1,10,0
11518,290000,2,2,2,10,0
27775,240000,2,2,2,10,0
19430,200000,2,3,1,10,0
4258,380000,1,1,1,10,0
6321,30000,1,2,2,10,1
5903,50000,1,1,2,10,0
1174,180000,2,1,2,10,0
26568,200000,2,3,1,10,0
22261,180000,2,1,2,10,0
9375,50000,1,2,2,10,0
20025,90000,2,3,1,10,0
11627,90000,2,3,2,10,0
2508,20000,1,2,2,10,1
12655,110000,2,3,2,10,0
27532,420000,1,3,1,10,0
6190,300000,1,1,2,10,0
17899,10000,1,2,1,10,0
9836,80000,2,1,2,10,0
16486,240000,2,3,1,10,0
3314,260000,1,1,2,10,0
29868,340000,1,1,2,10,0
21935,70000,2,1,2,10,0
11789,80000,1,1,2,10,0
618,270000,2,2,1,10,0
7176,150000,2,3,1,10,0
29034,20000,2,3,1,10,1
7459,80000,2,2,1,10,0
4562,220000,2,1,1,10,0
19383,120000,2,2,1,10,0
6502,180000,2,5,1,10,0
2366,130000,1,3,2,10,1
22431,90000,2,2,1,10,0
21852,80000,2,5,2,10,0
14573,130000,1,1,1,10,1
7096,20000,2,2,2,10,0
16041,50000,2,2,1,10,0
21449,440000,2,1,2,10,0
28263,160000,2,2,1,10,0
14653,30000,1,2,2,10,1
18779,300000,2,1,2,10,0
6315,140000,1,1,2,10,0
25093,20000,1,2,1,10,0
23005,450000,2,1,2,10,0
2610,550000,1,2,1,10,0
3384,110000,2,2,1,10,1
28239,30000,2,3,2,10,0
24796,120000,1,2,1,10,0
29773,250000,1,3,1,10,0
7705,200000,1,1,2,10,0
21606,80000,2,2,2,10,0
22553,80000,2,3,1,10,0
1612,300000,2,3,1,10,0
18670,200000,2,2,2,10,0
10619,500000,1,1,1,10,0
25161,80000,2,1,2,10,1
7751,80000,2,2,2,10,0
17047,60000,2,2,2,10,1
4582,210000,1,1,1,10,1
27580,240000,1,1,1,10,1
16763,50000,1,3,1,10,1
11516,300000,1,1,2,10,0
25512,20000,2,1,2,10,0
6233,60000,2,2,2,10,0
16574,50000,1,2,3,10,0
17811,50000,1,2,2,10,0
6839,80000,2,2,2,10,1
1113,90000,2,2,1,10,0
755,470000,2,2,1,10,0
13304,300000,2,2,1,10,0
15495,20000,1,2,2,10,1
17043,300000,2,2,2,10,0
17332,30000,2,3,1,10,1
22145,300000,2,1,2,10,1
16657,360000,1,1,2,10,0
28056,50000,2,2,1,10,0
614,40000,1,2,2,10,0
2195,130000,1,2,1,10,0
4327,150000,1,1,1,10,0
2030,30000,2,2,1,10,1
28052,30000,2,2,1,10,0
20535,90000,1,2,1,10,0
17166,180000,2,1,2,10,0
5309,80000,1,1,2,10,0
3779,230000,1,1,1,10,0
24712,180000,1,3,1,10,0
6289,400000,1,1,1,10,0
21453,20000,2,3,1,10,0
19001,240000,2,1,2,10,0
4657,70000,2,3,1,10,0
28270,20000,2,2,1,10,1
7477,30000,2,2,1,10,1
27552,330000,1,3,1,10,0
9170,90000,1,3,1,10,0
1652,170000,1,1,2,10,0
25041,50000,1,3,2,10,0
26156,200000,2,1,2,10,0
8560,110000,1,2,2,10,0
332,130000,2,2,2,10,1
20189,150000,2,1,1,10,0
22871,180000,2,2,2,10,0
12586,500000,2,1,2,10,0
4822,360000,2,2,2,10,0
9557,280000,1,2,2,10,1
26346,200000,2,1,2,10,0
10545,110000,1,2,2,10,0
21485,50000,2,2,2,10,0
29199,200000,1,3,2,10,0
23144,100000,2,2,1,10,0
28406,500000,2,1,2,10,0
19514,170000,2,1,2,10,0
418,50000,2,1,2,10,0
26153,290000,2,3,2,10,0
12607,100000,1,1,2,10,1
24503,50000,1,1,2,10,0
7175,20000,1,2,1,10,0
14552,140000,2,2,2,10,0
10850,50000,2,2,2,10,0
8206,240000,1,1,1,10,0
29404,130000,1,2,2,10,0
18549,300000,2,2,2,10,0
19573,90000,2,2,1,10,1
8643,400000,1,1,2,10,0
23325,270000,2,1,1,10,0
12043,20000,2,2,2,10,0
16666,200000,1,2,1,10,0
6610,420000,1,1,1,10,0
23755,300000,2,4,1,10,0
1716,50000,2,2,1,10,0
25643,30000,2,2,1,10,0
24369,330000,1,3,1,10,0
6409,50000,2,2,2,10,0
24673,20000,1,2,2,10,1
2248,280000,1,2,1,10,1
22035,160000,2,1,2,10,0
17817,50000,1,2,2,10,0
13943,360000,2,1,2,10,0
17841,10000,1,2,2,10,1
20205,20000,2,3,2,10,0
25781,200000,2,2,1,10,0
2464,20000,1,2,2,10,1
23624,80000,2,2,2,10,1
15952,20000,2,3,2,10,0
6503,170000,2,3,2,10,0
10573,360000,2,1,2,10,0
1841,70000,2,2,1,10,0
8880,180000,2,2,1,10,0
15123,200000,1,1,1,10,0
27732,20000,2,1,2,10,0
22118,200000,2,1,2,10,0
26954,200000,1,2,1,10,0
11096,220000,2,3,1,10,1
3076,200000,2,1,2,10,0
23981,50000,1,2,2,10,0
8426,50000,2,1,2,10,0
21438,360000,2,2,2,10,1
21291,430000,1,1,1,10,0
17416,70000,2,3,1,10,1
25927,290000,2,1,1,10,0
12905,50000,1,2,1,10,1
7654,20000,1,3,1,10,0
29877,220000,1,1,1,10,0
12760,300000,2,2,1,10,0
28381,460000,2,2,2,10,0
26936,230000,1,1,1,10,0
27801,100000,2,2,2,10,1
19083,70000,2,3,1,10,1
10819,200000,2,1,1,10,1
24117,460000,1,4,2,10,0
9599,340000,1,1,2,10,0
17058,30000,2,3,2,10,1
8327,180000,2,2,1,10,0
27435,90000,1,2,1,10,1
15951,50000,2,2,1,10,1
17427,30000,2,2,2,10,0
24886,260000,1,1,1,10,0
4758,210000,2,2,1,10,1
13833,70000,2,2,1,10,0
243,50000,2,2,2,10,0
1768,70000,2,2,2,10,0
17424,20000,2,3,1,10,1
19696,180000,2,3,1,10,0
15160,70000,2,2,2,10,0
16272,110000,2,2,2,10,0
29909,140000,1,1,2,10,1
22728,280000,2,4,1,10,1
22116,300000,2,1,2,10,0
18127,160000,1,3,1,10,0
11812,50000,2,2,2,10,0
11471,10000,1,2,2,10,0
22016,70000,2,1,2,10,0
19423,110000,2,1,2,10,0
17719,220000,2,1,1,10,1
20871,200000,1,1,2,10,1
14441,50000,2,1,2,10,0
9788,130000,1,1,2,10,1
25697,120000,2,3,1,10,0
16872,30000,1,3,2,10,1
2867,80000,2,1,2,10,0
27723,140000,2,1,2,10,0
23131,100000,2,1,2,10,0
6044,130000,1,2,1,10,0
11822,20000,1,2,2,10,0
17056,50000,2,3,1,10,0
28964,420000,2,2,1,10,1
24437,260000,1,1,2,10,0
14068,50000,1,3,2,10,0
12909,120000,1,3,2,10,1
1534,230000,2,1,2,10,0
8764,500000,2,2,2,10,0
15158,50000,2,2,1,10,0
25350,130000,2,1,2,10,0
8734,290000,2,2,2,10,0
29780,50000,1,2,1,10,0
9801,50000,1,2,2,10,0
6327,80000,2,2,1,10,0
23203,180000,2,2,1,10,0
22607,30000,2,1,1,10,0
5410,150000,1,3,1,10,0
14300,170000,1,1,2,10,0
25092,300000,1,1,1,10,0
15573,220000,1,2,1,10,0
28252,120000,2,1,1,10,0
214,30000,1,2,2,10,0
11769,260000,2,2,2,10,0
24645,360000,1,3,1,10,0
17090,80000,2,2,2,10,0
25338,200000,2,2,2,10,0
14868,100000,2,2,2,10,1
2138,300000,2,2,1,10,0
17036,110000,2,2,2,10,0
7910,50000,2,3,2,10,0
7215,380000,1,1,1,10,0
7474,160000,1,1,1,10,0
14074,50000,1,3,2,10,0
9167,30000,1,2,2,10,1
27573,500000,1,1,1,10,0
3821,220000,1,1,1,10,0
1714,390000,2,1,1,10,0
11839,150000,2,1,2,10,0
16720,210000,1,1,1,10,0
19466,30000,2,2,1,10,1
14853,150000,2,2,1,10,0
22814,80000,2,2,1,10,0
21183,160000,1,1,1,10,0
17971,120000,1,2,3,10,0
26305,90000,2,1,2,10,0
563,60000,2,2,1,10,0
3391,20000,1,2,2,10,1
28612,60000,2,3,2,10,0
22279,500000,2,2,2,10,0
6434,20000,2,1,1,10,0
15746,90000,2,2,2,10,0
13992,230000,1,1,1,10,1
4885,70000,1,2,2,10,1
16784,50000,1,2,2,10,1
8924,230000,1,1,2,10,0
12156,50000,1,1,2,10,1
6053,50000,1,2,1,10,0
7782,100000,1,2,2,10,0
7308,30000,2,3,2,10,1
1179,50000,1,2,2,10,0
13577,50000,1,1,2,10,0
