client_id,payment_status,bill_amt,paid_amt,month
1,2,3913,0,8
2,-1,2682,0,8
4,0,46990,2000,8
7,0,367965,55000,8
9,0,11285,3329,8
10,-2,0,0,8
11,0,11073,2306,8
12,-1,12261,21818,8
14,1,65802,3200,8
16,1,50614,0,8
17,0,15376,3200,8
18,0,253286,10358,8
20,1,0,0,8
21,0,38358,3000,8
22,-1,316,316,8
23,2,41087,2007,8
25,0,4744,5757,8
26,0,47620,1973,8
27,1,-109,0,8
28,0,22541,1300,8
29,-1,650,3415,8
30,0,15329,1500,8
31,-1,16646,17270,8
33,0,93036,3023,8
35,-2,13709,5006,8
38,0,15054,1500,8
40,-1,498,9075,8
41,0,218668,10000,8
43,0,1877,1500,8
44,0,59504,3000,8
45,0,18927,3000,8
46,-2,0,0,8
47,0,14028,3000,8
48,0,4463,1013,8
49,-1,22401,21540,8
50,0,17447,1318,8
51,1,37042,0,8
52,0,61559,2000,8
53,-2,13465,7875,8
57,0,16386,8500,8
58,0,175886,8083,8
59,-1,1587,0,8
60,0,400134,17000,8
61,0,22848,1516,8
62,0,70800,4025,8
63,2,24987,0,8
65,-1,99,0,8
66,-2,152519,0,8
67,2,2097,2300,8
68,2,300,300,8
69,1,-190,0,8
70,2,18565,0,8
71,-1,780,0,8
72,2,58267,2500,8
73,-1,9076,5818,8
75,-1,3048,5713,8
76,0,14619,2850,8
77,-1,42838,1759,8
79,0,28387,1686,8
81,0,165254,6400,8
83,0,26324,1576,8
84,0,131595,10700,8
85,0,48909,1676,8
87,-1,390,1170,8
88,0,3826,1147,8
89,0,81313,40000,8
90,2,8583,0,8
91,2,138180,6300,8
92,-1,7524,0,8
93,-2,-2000,7555,8
94,-1,880,1602,8
96,0,83725,3621,8
97,-1,3967,8339,8
98,0,86009,4031,8
99,0,18722,1411,8
100,0,17973,1699,8
101,-2,672,10212,8
102,-2,-81,223,8
104,0,44698,1767,8
105,2,56685,0,8
107,-1,6108,2861,8
108,-1,713,2272,8
109,0,171438,10908,8
110,1,-103,0,8
111,0,105879,9260,8
112,0,13244,2000,8
113,2,135673,6500,8
114,0,52128,2000,8
115,0,19015,1340,8
116,-1,18199,0,8
117,-1,326,326,8
118,2,14029,2000,8
119,-1,19660,9677,8
